,tconst,pTitle,Year,runtimeMinutes,numVotes,wiki_key,Runtime_minutes,action,adventure,animation,biographical,comedy,crime,drama,documentary,fantasy,historical,horror,musical,mystery,romance,science_fiction,sport,thriller,war,western,academy_award,bafta,United_States,India,United_Kingdom,Canada,English,French,Japanese,Italian,Spanish,Budget,Budget_cleaned,Box_office,Box_office_cleaned,profit_pc,missing_finances
0,tt0003740,cabiria,1914,148,3452.0,Cabiria,200,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"""£50,000[3]""",50000.0,"""₤1 million""",1000000.0,1900.0,0
1,tt0008663,a man there was,1917,65,1882.0,A_Man_There_Was,65,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""60,000 SEK""",60000.0,,0.0,0.0,1
2,tt0009369,mickey,1918,93,1119.0,Mickey_(1918_film),93,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"""$250,000""",250000.0,"""$16,450,000""",16450000.0,6480.0,0
3,tt0010600,the doll,1919,66,1898.0,The_Doll_(1919_film),70,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,0.0,1
4,tt0011439,the mark of zorro,1920,79,2439.0,The_Mark_of_Zorro_(1920_film),90,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,"""$169,187.05[1]""",169187.05,"""over $500,000[1]""",500000.0,195.53089317415254,0
5,tt0011607,the parsons widow,1920,94,1264.0,The_Parson's_Widow,71,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,0.0,1
6,tt0011841,way down east,1920,145,5376.0,Way_Down_East,148,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"""$800,000[1] or $635,000[2]""",800000635000.0,"""$7,500,000[2]""",7500000.0,-99.99906250074415,1
7,tt0012494,destiny,1921,97,5842.0,Destiny_(1921_film),99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,0.0,1
8,tt0012532,orphans of the storm,1921,150,,Orphans_of_the_Storm,150,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"""$760,000[2]""",760000.0,"""$3 million (worldwide rental)[3] or $2 million[2]""",32000000.0,4110.526315789474,0
9,tt0013257,haxan,1922,91,13679.0,Häxan,105,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""SEK 2 million""",2000000.0,,0.0,0.0,1
